cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,1996,3591,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,1997,3644,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,1998,3816,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,1999,3619,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2000,3707,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2001,3855,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2002,3948,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2003,4151,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2004,4008,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2005,4220,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2006,4318,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2007,4402,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2008,4632,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2009,4606,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2010,5125,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2011,4867,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2012,4886,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2013,5197,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2014,5301,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2015,6012,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2016,5886,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2017,5703,Defunciones registradas
31,Yucatán,0,Estatal,1002000032,Defunciones registradas. Mujeres,2018,5937,Defunciones registradas
